"Observation_ID","Observation_Label","User_Pedon_ID","Latitude","Longitude","State","County","ocean","lake","pedon_id","distance","obs_date","siteiid","peiid","ecositeid","drainagecl","taxonname","taxclname","taxsubgrp","bedrckdepth","flodfreqcl","landform_string","sand050","sand150","pH50","p_wet","p_moist","p_dry","p_mucky","p_sandy","p_rock","p_coastal","p_flood","p_salty","p_dysic","p_euic"
".2023.TOL.NB.32","2023NJ029200","",39.8144927,-74.0901951997,"New Jersey","Ocean County",680.327292652283,445698.694346651,"2023NJ029200",37.2383443218943,2023-08-08,1549954,"1434189","R153DY100MD","excessively","Hooksan","Mesic, uncoated Typic Quartzipsamments","typic quartzipsamments",500,"none","foredune",92,92,NA,0,0,1,0,1,0,1,0,0,0,0
".2023.TOL.NB.33","2023NJ029201","",39.8146271,-74.0908416,"New Jersey","Ocean County",737.005915707684,445657.332568796,"2023NJ029201",13.7057700044101,2023-08-08,1549955,"1434190","F153DY090MD","excessively","Hooksan","Mesic, uncoated Typic Quartzipsamments","typic quartzipsamments",500,"none","dune",92,92,NA,0,0,1,0,1,0,1,0,0,0,0
".2023.TOL.NB.34","2023NJ029202","",39.8142655997,-74.0915071997,"New Jersey","Ocean County",789.492063424462,445662.239125155,"2023NJ029202",0.942720552321003,2023-08-08,1549957,"1434191","R153DY080MD","poorly","Fox Hill","Siliceous, mesic Sodic Psammaquents","sodic psammaquents",500,"none","interdune",78.8571428571429,84.64,NA,1,0,0,0,1,0,1,0,0,0,0
"BEL.JH.2023.1","2023NJ005201","",39.926034,-74.839782,"New Jersey","Burlington County",37205.0927479298,404659.912207585,"2023NJ005201",51.350053557333,2023-08-10,1549961,"1434195","F149AY080NJ","poorly","Colemantown","Fine, glauconitic, mesic Typic Albaquults","typic albaquults",500,"none","depression",32.2941176470588,42.2631578947368,NA,1,0,0,0,0,0,0,0,0,1,0
"GRR.2011.GJS.1","Ionia County RCA Site","C1103F02-1",42.9524166666667,-85.1594722222222,"Michigan","Ionia County",824461.035035349,86247.7204723731,"C1103F02-1",0.300835692358443,2011-06-20,491482,"577435",NA,"somewhat poorly","Ceresco (tax)","Coarse-loamy, mixed, mesic Oxyaquic Dystrudepts","oxyaquic dystrudepts",500,"occasional","outwash plain",58.1,60.84,7.03818177743392,0,1,0,0,0,0,0,1,0,0,1
"GRR.2011.GJS.10","Newaygo County","C1107W06-1",43.6245833333333,-85.9463611111167,"Michigan","Newaygo County",917357.654917242,43127.7353967589,"C1107W06-1",6.61389534040079,2011-06-30,491484,"577445",NA,"poorly","Kingsville","Mixed, mesic Mollic Psammaquents","mollic psammaquents",500,"none","outwash plain",69.6571428571429,79.9692307692308,5.45428564207894,1,0,0,0,0,0,0,0,0,1,0
"GRR.2011.GJS.11","Barry County -Tenkink woods","",42.483888889,-85.235833333,"Michigan","Barry County",802584.048787523,82312.010062042,"C1106W10-1",429.360944937775,2011-07-14,583897,"577505",NA,"very poorly","Palms","Loamy, mixed, euic, mesic Haplosaprists",NA,500,"none","moraine",0,4.79411764705882,6.19999980926514,1,0,0,0,0,0,0,0,0,0,1
"GRR.2011.GJS.12","Barry County - Houghton swamp","C1106W10-1",42.486944444,-85.238611111,"Michigan","Barry County",802950.891935854,82035.0753863915,"C1106W10-1",16.6572791414286,2011-07-14,583897,"577505",NA,"very poorly","Palms","Loamy, mixed, euic, mesic Haplosaprists",NA,500,"none","moraine",0,4.79411764705882,6.19999980926514,1,0,0,0,0,0,0,0,0,0,1
"GRR.2011.GJS.13","Allegan County RCA Site: Newton","C1103W02-1",42.67005555,-85.87130555,"Michigan","Allegan County",858188.78676805,27828.9649381946,"C1103W02-1",29.2554913561489,2011-07-15,583886,"577455",NA,"poorly","Kingsville","Mixed, mesic Mollic Psammaquents","mollic psammaquents",500,"none","lake plain",92,92,5.97375002503395,1,0,0,0,1,0,0,0,0,0,1
"GRR.2011.GJS.3","Ionia County Shallow Sandy Site 1","2011MI067200",42.976749,-84.995823,"Michigan","Ionia County",814838.711919102,99715.3067145698,"2011MI067200",14.0532623959344,2011-06-06,1499683,"1373799",NA,"somewhat poorly","Pipestone","Sandy, mixed, mesic Typic Endoaquods","typic endoaquods",40,"none","rise",90.18,90.7866666666667,5.69999980926514,0,1,0,0,1,1,0,0,0,0,1
"GRR.2011.GJS.4","Allegan County RCA Site: Morocco","C1103W05-1",42.5319,-86.0464,"Michigan","Allegan County",863628.535266526,15929.0598659459,"C1103W05-1",43.0391798663069,2011-06-07,583903,"577535",NA,"somewhat poorly","Pipestone","Sandy, mixed, mesic Typic Endoaquods","typic endoaquods",500,"none","lake plain",90.1842105263158,90.16,5.19539484852239,0,1,0,0,1,0,0,0,0,1,0
"GRR.2011.GJS.5","Van Buren County RCA Site","C1103F06-1",42.15855,-86.087391,"Michigan","Van Buren County",848435.837969316,24732.5787307492,"C1103F06-1",64.1797230413982,2011-06-08,512598,"503752",NA,"moderately well","Ottokee","Mixed, mesic Aquic Udipsamments","aquic udipsamments",500,"none","moraine",78.175,46.0266666666667,5.51250009536743,0,1,0,0,0,0,0,0,0,0,1
"GRR.2011.GJS.6","Lake County RCA Site","C1104F05-1",43.900262,-85.898901,"Michigan","Lake County",914246.003016343,42027.6053436797,"C1104F05-1",6.00321091041204,2011-06-09,512593,"503727",NA,"excessively","Grayling","Isotic, frigid Typic Udipsamments","typic udipsamments",500,"none","outwash plain",87.3220338983051,90.16,5.06785704408373,0,0,1,0,1,0,0,0,0,1,0
"GRR.2011.GJS.7","Calhoun County County RCA Site","C1103F07-1",42.12333564,-84.92244495,"Michigan","Calhoun County",760534.397221718,116180.226315049,"C1103F07-1",12.0894735985755,2011-06-13,491479,"577420",NA,"moderately well","Bronson tax","Coarse-loamy, mesic Aquic Glossudalfs","aquic glossudalfs",500,"none","outwash plain",30.2769230769231,13.12,5.25230775246253,0,1,0,0,0,0,0,0,0,1,0
"GRR.2011.GJS.8","Mason County","C1103F08-1",44.0283333333333,-86.2688888888889,"Michigan","Mason County",914145.504406089,15952.875259853,"C1103F08-1",21.297663757711,2011-06-23,583895,"577495",NA,"somewhat poorly","Saugatuck","Sandy, mixed, mesic, ortstein, shallow Typic Duraquods","typic duraquods",500,"none","lake plain",83.72,86.48,5.01399989128113,0,1,0,0,1,0,0,0,0,1,0
"GRR.2011.GJS.9","Oceana County","C1103W07-1",43.7315277777833,-86.2883888883333,"Michigan","Oceana County",944494.492651324,13172.253981741,"C1103W07-1",31.7439075029598,2011-07-19,490922,"567917",NA,"poorly","Kingsville","Mixed, mesic Typic Psammaquents","typic psammaquents",500,"none","glacial drainage channel",81.7777777777778,85.8666666666667,6.09666652149624,1,0,0,0,1,0,0,0,0,0,1
"GRR.GJS.2011.14","Berrien County","",42.0247166666667,-86.4531,"Michigan","Berrien County",870132.057706363,6664.91270462213,"C1110C03-1",250.60680821325,2011-07-29,583888,"577465",NA,NA,"Kibbie","Fine-loamy, mixed, active, mesic Aquollic Hapludalfs","aquollic hapludalfs",500,"none","moraine",23.6363636363636,17.3333333333333,7.13636374473572,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2011.15","Allegan County RCA Site: Oakville","C1101F01-1",42.5548527777778,-85.8963972222222,"Michigan","Allegan County",853905.964029728,27479.9270951898,"C1101F01-1",0.368253890598279,2011-08-10,583891,"577475",NA,"somewhat excessively","Plainfield (tax)","Mixed, mesic Spodic Udipsamments","spodic udipsamments",500,"none","outwash plain",92,92,4.61199989318848,0,0,1,0,1,0,0,0,0,1,0
"GRR.GJS.2011.16","Coastal Plain Marsh 1","",43.5002166666667,-85.792,"Michigan","Newaygo County",899800.657434016,41755.6899509668,"1988MI123001",4941.3073304149,1988-06-09,1120399,"1111344",NA,"very poorly","Carlisle","Euic, mesic Typic Haplosaprists","typic haplosaprists",500,NA,"closed depression",0,0,5.96231887651526,1,0,0,1,0,0,0,0,0,0,1
"GRR.GJS.2011.17","Coastal Plain Marsh 2","",43.5032166666667,-85.8000333333333,"Michigan","Newaygo County",900530.555375,41444.9655219327,"1988MI123001",4384.94806703449,1988-06-09,1120399,"1111344",NA,"very poorly","Carlisle","Euic, mesic Typic Haplosaprists","typic haplosaprists",500,NA,"closed depression",0,0,5.96231887651526,1,0,0,1,0,0,0,0,0,0,1
"GRR.GJS.2011.18","Manistee RCA Site: Benona","C1101F06-1",44.4083333333333,-86.1895166666667,"Michigan","Manistee County",873592.066783358,4848.207385925,"C1101F06-1",163.117886239693,2011-06-29,490924,"567927",NA,"well","Benona","Sandy, mixed, mesic Lamellic Haplorthods","lamellic haplorthods",500,"none","outwash plain",92,35.5733333333333,5.25517238419631,0,0,1,0,1,0,0,0,0,1,0
"GRR.GJS.2011.19","Oceana RCA Site: Benona","C1101F05-1",43.6297741,-86.50968802,"Michigan","Oceana County",957317.812090908,2200.66809140221,"C1101F05-1",16.5206661469576,2011-07-12,583906,"484234",NA,"well","Benona","Mixed, mesic Spodic Udipsamments","spodic udipsamments",500,"none","moraine",92,36.8,5.42666665712992,0,0,1,0,1,0,0,0,0,1,0
"GRR.GJS.2011.2","Ionia County Shallow Sandy Site 2","2011MI067201",42.9774444444444,-84.9948888888889,"Michigan","Ionia County",814818.759451728,99795.9722053158,"2011MI067201",0.00507537567263451,2011-06-06,1499682,"1373800","F098XA023MI","well","SND","Mixed, mesic Lithic Udipsamments","lithic udipsamments",40,"none","rise",87.5121951219512,87.5121951219512,5.90000009536743,0,0,1,0,1,1,0,0,0,0,1
"GRR.GJS.2011.75","Sand Dunes","F2009MI121F229",43.127018,-86.273811,"Michigan","Muskegon County",911855.884831511,62.530761288521,"F2009MI121F229",1016.96049932085,2009-11-23,372655,"372318",NA,"somewhat excessively","Plainfield","Mixed, mesic Typic Udipsamments","typic udipsamments",500,"none","dune",88.3921568627451,90.7733333333333,NA,0,0,1,0,1,0,1,0,0,0,0
"GRR.GJS.2011.76","Sandy Lake Plain","2008MI139T02201",43.0341111111111,-86.1086388888889,"Michigan","Ottawa County",895035.065598719,10393.5801417342,"2008MI139T02201",4.22337300490998,2008-05-08,373719,"373378",NA,"somewhat excessively","Plainfield - very gravelly substratum","Mixed, mesic Spodic Udipsamments","spodic udipsamments",500,"none","lake plain",87.4901960784314,90.0533333333333,NA,0,0,1,0,1,0,0,0,0,0,0
"GRR.GJS.2011.78","Sandy Outwash Plain","F2009MI121T013-03",43.2483127777778,-86.1209997222222,"Michigan","Muskegon County",908150.585275941,7096.07498362273,"F2009MI121T013-03",162.42420357575,2009-07-02,367641,"367371",NA,"somewhat excessively","Plainfield","Mixed, mesic Spodic Udipsamments","spodic udipsamments",500,"none","lake plain",92,92,NA,0,0,1,0,1,0,0,0,0,0,0
"GRR.GJS.2012.1","MM01.02","",42.9793833333333,-85.8306333333333,"Michigan","Ottawa County",872441.31292665,31979.1852169606,"2012MI139003",639.516229709388,2012-04-16,1491710,"1374223","F097XA027MI","moderately well","Abscota","Mixed, mesic Oxyaquic Udipsamments","oxyaquic udipsamments",500,NA,"flood plain",85.3333333333333,54.9333333333333,NA,0,1,0,0,1,0,0,1,0,0,0
"GRR.GJS.2012.10","S12042504","",42.9897,-86.06925,"Michigan","Ottawa County",889774.360561359,12775.0570289036,"2010MI139F045",723.584639789303,2010-06-30,463349,"455091",NA,"moderately well","Covert","Sandy, mixed, mesic Oxyaquic Haplorthods","oxyaquic haplorthods",500,"none","lake plain",89.7718760967255,91.0493338012695,4.59999990463257,0,1,0,0,1,0,0,0,0,1,0
"GRR.GJS.2012.11","S12042505","",42.9853333333333,-86.0795333333333,"Michigan","Ottawa County",890255.195787147,11886.9771666351,"2009MI139F141",274.669060752312,2009-07-10,407257,"406363",NA,"somewhat excessively","Plainfield","Mixed, mesic Typic Udipsamments","typic udipsamments",500,"none","lake plain",86.5882352941177,90.16,NA,0,0,1,0,1,0,0,0,0,0,0
"GRR.GJS.2012.12","S12042601","",42.59465,-85.9433333333333,"Michigan","Allegan County",859385.534930915,23295.3508235277,"2012MI005003",0.0345434844659923,2012-04-26,1460585,"1343893","F097XA025MI","somewhat poorly","Algansee","Sandy, mixed, mesic Fluvaquentic Humaquepts","fluvaquentic humaquepts",500,"occasional","flood plain",92,80.8,NA,0,1,0,0,1,0,0,1,0,0,0
"GRR.GJS.2012.13","S12050801","",42.8913333333333,-86.0514833333333,"Michigan","Ottawa County",883063.642192564,13239.5414856821,"2009MI139F227",2992.88724189758,2009-09-25,364940,"364630",NA,"well","Benona - deep lamellae","Sandy, mixed, mesic Lamellic Haplorthods","lamellic haplorthods",500,"none","moraine",93.1372555003447,92.3866668701172,4.90000009536743,0,0,1,0,1,0,0,0,0,1,0
"GRR.GJS.2012.14","S12051101","",42.9509666666667,-85.8828,"Michigan","Ottawa County",874481.301485923,27393.7713898113,"2012MI139004-1",0.370754347754545,2012-05-11,1460586,"1343894","F097XA017MI","well","SND","Coarse-silty, mixed, mesic Typic Udorthents","typic udorthents",500,"none","ravine",22,58.5333333333333,NA,0,0,1,0,0,0,0,0,0,0,0
"GRR.GJS.2012.15","S12051102","",42.953,-85.8812333333333,"Michigan","Ottawa County",874486.33354109,27546.5276935597,"2012MI139015",0.0345012045942894,2012-05-11,1460587,"1343895","F097XA017MI","well","Spinks","Mixed, mesic Haplic Glossudalfs","haplic glossudalfs",500,"none","ravine",81.3055555555556,85.125,NA,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2012.16","S12051103","",42.95238423,-85.8815,"Michigan","Ottawa County",874470.212226321,27517.1072175528,"2012MI139005",0.103440464031954,2012-05-11,1491707,"1374220","F097XA017MI","well","Onekama","Fine, mixed, active, mesic Haplic Glossudalfs","haplic glossudalfs",500,NA,"moraine",29.6744186046512,20.1927710843373,NA,0,0,1,0,0,0,0,0,0,0,1
"GRR.GJS.2012.17","S12051801","",40.8472666666667,-87.0468666666667,"Indiana","White County",875904.869021171,87579.0789503179,"2017IN073001",535.660651547401,2017-08-03,1543078,"1427092",NA,"somewhat excessively","Chelsea","Mixed, mesic Typic Udipsamments","typic udipsamments",500,"none","parabolic dune",79.1315789473684,81.432,7.5,0,0,1,0,1,0,0,0,0,0,1
"GRR.GJS.2012.18","S12052301","",42.9720833333333,-86.13405,"Michigan","Ottawa County",893367.785008084,7302.79191930731,"2007MI139T06010",566.474031411144,2007-08-24,406659,"406015",NA,"somewhat excessively","Grattan","Sandy, mixed, mesic Entic Haplorthods","entic haplorthods",500,"none","lake plain & dune",92,92,NA,0,0,1,0,1,0,0,0,0,1,0
